Series;Time;Value
Average;2018-04-20T10:15:00+01:00;null
Average;2018-04-20T10:16:00+01:00;777
Average;2018-04-20T10:17:00+01:00;776
Average;2018-04-20T10:18:00+01:00;742
Average;2018-04-20T10:19:00+01:00;674
Average;2018-04-20T10:20:00+01:00;451.25
Average;2018-04-20T10:21:00+01:00;447.5
Average;2018-04-20T10:22:00+01:00;423
Average;2018-04-20T10:23:00+01:00;427.5
Average;2018-04-20T10:24:00+01:00;676
Average;2018-04-20T10:25:00+01:00;776
Average;2018-04-20T10:26:00+01:00;777
Average;2018-04-20T10:27:00+01:00;648
Average;2018-04-20T10:28:00+01:00;437.25
Average;2018-04-20T10:29:00+01:00;450
Average;2018-04-20T10:30:00+01:00;449.25
Average;2018-04-20T10:31:00+01:00;449.25
Average;2018-04-20T10:32:00+01:00;695
Average;2018-04-20T10:33:00+01:00;737
Sum;2018-04-20T10:15:00+01:00;null
Sum;2018-04-20T10:16:00+01:00;777
Sum;2018-04-20T10:17:00+01:00;776
Sum;2018-04-20T10:18:00+01:00;742
Sum;2018-04-20T10:19:00+01:00;674
Sum;2018-04-20T10:20:00+01:00;1805
Sum;2018-04-20T10:21:00+01:00;1790
Sum;2018-04-20T10:22:00+01:00;1692
Sum;2018-04-20T10:23:00+01:00;1710
Sum;2018-04-20T10:24:00+01:00;676
Sum;2018-04-20T10:25:00+01:00;776
Sum;2018-04-20T10:26:00+01:00;777
Sum;2018-04-20T10:27:00+01:00;648
Sum;2018-04-20T10:28:00+01:00;1749
Sum;2018-04-20T10:29:00+01:00;1800
Sum;2018-04-20T10:30:00+01:00;1797
Sum;2018-04-20T10:31:00+01:00;1797
Sum;2018-04-20T10:32:00+01:00;695
Sum;2018-04-20T10:33:00+01:00;737
