Series;Time;Value
Replicas;2018-04-20T10:15:00+01:00;null
Replicas;2018-04-20T10:15:15+01:00;1
Replicas;2018-04-20T10:15:30+01:00;1
Replicas;2018-04-20T10:15:45+01:00;1
Replicas;2018-04-20T10:16:00+01:00;1
Replicas;2018-04-20T10:16:15+01:00;1
Replicas;2018-04-20T10:16:30+01:00;1
Replicas;2018-04-20T10:16:45+01:00;1
Replicas;2018-04-20T10:17:00+01:00;1
Replicas;2018-04-20T10:17:15+01:00;1
Replicas;2018-04-20T10:17:30+01:00;1
Replicas;2018-04-20T10:17:45+01:00;1
Replicas;2018-04-20T10:18:00+01:00;1
Replicas;2018-04-20T10:18:15+01:00;1
Replicas;2018-04-20T10:18:30+01:00;1
Replicas;2018-04-20T10:18:45+01:00;2
Replicas;2018-04-20T10:19:00+01:00;4
Replicas;2018-04-20T10:19:15+01:00;4
Replicas;2018-04-20T10:19:30+01:00;4
Replicas;2018-04-20T10:19:45+01:00;4
Replicas;2018-04-20T10:20:00+01:00;4
Replicas;2018-04-20T10:20:15+01:00;4
Replicas;2018-04-20T10:20:30+01:00;4
Replicas;2018-04-20T10:20:45+01:00;4
Replicas;2018-04-20T10:21:00+01:00;4
Replicas;2018-04-20T10:21:15+01:00;4
Replicas;2018-04-20T10:21:30+01:00;4
Replicas;2018-04-20T10:21:45+01:00;4
Replicas;2018-04-20T10:22:00+01:00;4
Replicas;2018-04-20T10:22:15+01:00;4
Replicas;2018-04-20T10:22:30+01:00;4
Replicas;2018-04-20T10:22:45+01:00;4
Replicas;2018-04-20T10:23:00+01:00;1
Replicas;2018-04-20T10:23:15+01:00;1
Replicas;2018-04-20T10:23:30+01:00;1
Replicas;2018-04-20T10:23:45+01:00;1
Replicas;2018-04-20T10:24:00+01:00;1
Replicas;2018-04-20T10:24:15+01:00;1
Replicas;2018-04-20T10:24:30+01:00;1
Replicas;2018-04-20T10:24:45+01:00;1
Replicas;2018-04-20T10:25:00+01:00;1
Replicas;2018-04-20T10:25:15+01:00;1
Replicas;2018-04-20T10:25:30+01:00;1
Replicas;2018-04-20T10:25:45+01:00;1
Replicas;2018-04-20T10:26:00+01:00;1
Replicas;2018-04-20T10:26:15+01:00;1
Replicas;2018-04-20T10:26:30+01:00;1
Replicas;2018-04-20T10:26:45+01:00;3
Replicas;2018-04-20T10:27:00+01:00;4
Replicas;2018-04-20T10:27:15+01:00;4
Replicas;2018-04-20T10:27:30+01:00;4
Replicas;2018-04-20T10:27:45+01:00;4
Replicas;2018-04-20T10:28:00+01:00;4
Replicas;2018-04-20T10:28:15+01:00;4
Replicas;2018-04-20T10:28:30+01:00;4
Replicas;2018-04-20T10:28:45+01:00;4
Replicas;2018-04-20T10:29:00+01:00;4
Replicas;2018-04-20T10:29:15+01:00;4
Replicas;2018-04-20T10:29:30+01:00;4
Replicas;2018-04-20T10:29:45+01:00;4
Replicas;2018-04-20T10:30:00+01:00;4
Replicas;2018-04-20T10:30:15+01:00;4
Replicas;2018-04-20T10:30:30+01:00;4
Replicas;2018-04-20T10:30:45+01:00;3
Replicas;2018-04-20T10:31:00+01:00;1
Replicas;2018-04-20T10:31:15+01:00;1
Replicas;2018-04-20T10:31:30+01:00;1
Replicas;2018-04-20T10:31:45+01:00;1
Replicas;2018-04-20T10:32:00+01:00;1
Replicas;2018-04-20T10:32:15+01:00;1
Replicas;2018-04-20T10:32:30+01:00;1
Replicas;2018-04-20T10:32:45+01:00;1
Replicas;2018-04-20T10:33:00+01:00;1
Specific Metric;2018-04-20T10:15:00+01:00;null
Specific Metric;2018-04-20T10:15:15+01:00;0
Specific Metric;2018-04-20T10:15:30+01:00;0
Specific Metric;2018-04-20T10:15:45+01:00;0
Specific Metric;2018-04-20T10:16:00+01:00;0
Specific Metric;2018-04-20T10:16:15+01:00;0
Specific Metric;2018-04-20T10:16:30+01:00;0
Specific Metric;2018-04-20T10:16:45+01:00;0
Specific Metric;2018-04-20T10:17:00+01:00;0
Specific Metric;2018-04-20T10:17:15+01:00;0
Specific Metric;2018-04-20T10:17:30+01:00;0
Specific Metric;2018-04-20T10:17:45+01:00;0
Specific Metric;2018-04-20T10:18:00+01:00;0
Specific Metric;2018-04-20T10:18:15+01:00;0
Specific Metric;2018-04-20T10:18:30+01:00;1
Specific Metric;2018-04-20T10:18:45+01:00;1
Specific Metric;2018-04-20T10:19:00+01:00;1
Specific Metric;2018-04-20T10:19:15+01:00;1
Specific Metric;2018-04-20T10:19:30+01:00;1
Specific Metric;2018-04-20T10:19:45+01:00;1
Specific Metric;2018-04-20T10:20:00+01:00;1
Specific Metric;2018-04-20T10:20:15+01:00;1
Specific Metric;2018-04-20T10:20:30+01:00;1
Specific Metric;2018-04-20T10:20:45+01:00;1
Specific Metric;2018-04-20T10:21:00+01:00;1
Specific Metric;2018-04-20T10:21:15+01:00;1
Specific Metric;2018-04-20T10:21:30+01:00;1
Specific Metric;2018-04-20T10:21:45+01:00;1
Specific Metric;2018-04-20T10:22:00+01:00;1
Specific Metric;2018-04-20T10:22:15+01:00;1
Specific Metric;2018-04-20T10:22:30+01:00;0.25
Specific Metric;2018-04-20T10:22:45+01:00;0
Specific Metric;2018-04-20T10:23:00+01:00;0
Specific Metric;2018-04-20T10:23:15+01:00;0
Specific Metric;2018-04-20T10:23:30+01:00;0
Specific Metric;2018-04-20T10:23:45+01:00;0
Specific Metric;2018-04-20T10:24:00+01:00;0
Specific Metric;2018-04-20T10:24:15+01:00;0
Specific Metric;2018-04-20T10:24:30+01:00;0
Specific Metric;2018-04-20T10:24:45+01:00;0
