Series;Time;Value
Sum;2018-04-23T12:31:00+01:00;519
Sum;2018-04-23T12:32:00+01:00;539
Sum;2018-04-23T12:33:00+01:00;538
Sum;2018-04-23T12:34:00+01:00;535
Sum;2018-04-23T12:35:00+01:00;880
Sum;2018-04-23T12:36:00+01:00;711
Sum;2018-04-23T12:37:00+01:00;1074
Sum;2018-04-23T12:38:00+01:00;1081
Sum;2018-04-23T12:39:00+01:00;1521
Sum;2018-04-23T12:40:00+01:00;1612
Sum;2018-04-23T12:41:00+01:00;1597
Sum;2018-04-23T12:42:00+01:00;1598
Sum;2018-04-23T12:43:00+01:00;1780
Sum;2018-04-23T12:44:00+01:00;1567
Sum;2018-04-23T12:45:00+01:00;2144
Sum;2018-04-23T12:46:00+01:00;2137
Mean;2018-04-23T12:31:00+01:00;519
Mean;2018-04-23T12:32:00+01:00;539
Mean;2018-04-23T12:33:00+01:00;538
Mean;2018-04-23T12:34:00+01:00;535
Mean;2018-04-23T12:35:00+01:00;880
Mean;2018-04-23T12:36:00+01:00;711
Mean;2018-04-23T12:37:00+01:00;537
Mean;2018-04-23T12:38:00+01:00;540.5
Mean;2018-04-23T12:39:00+01:00;760.5
Mean;2018-04-23T12:40:00+01:00;806
Mean;2018-04-23T12:41:00+01:00;798.5
Mean;2018-04-23T12:42:00+01:00;799
Mean;2018-04-23T12:43:00+01:00;890
Mean;2018-04-23T12:44:00+01:00;783.5
Mean;2018-04-23T12:45:00+01:00;714.6666666666666
Mean;2018-04-23T12:46:00+01:00;712.3333333333334
