Series;Time;Value
{};2018-04-23T12:31:00+01:00;1
{};2018-04-23T12:31:15+01:00;1
{};2018-04-23T12:31:30+01:00;1
{};2018-04-23T12:31:45+01:00;1
{};2018-04-23T12:32:00+01:00;1
{};2018-04-23T12:32:15+01:00;1
{};2018-04-23T12:32:30+01:00;1
{};2018-04-23T12:32:45+01:00;1
{};2018-04-23T12:33:00+01:00;1
{};2018-04-23T12:33:15+01:00;1
{};2018-04-23T12:33:30+01:00;1
{};2018-04-23T12:33:45+01:00;1
{};2018-04-23T12:34:00+01:00;1
{};2018-04-23T12:34:15+01:00;1
{};2018-04-23T12:34:30+01:00;1
{};2018-04-23T12:34:45+01:00;1
{};2018-04-23T12:35:00+01:00;1
{};2018-04-23T12:35:15+01:00;1
{};2018-04-23T12:35:30+01:00;2
{};2018-04-23T12:35:45+01:00;2
{};2018-04-23T12:36:00+01:00;2
{};2018-04-23T12:36:15+01:00;2
{};2018-04-23T12:36:30+01:00;2
{};2018-04-23T12:36:45+01:00;2
{};2018-04-23T12:37:00+01:00;2
{};2018-04-23T12:37:15+01:00;2
{};2018-04-23T12:37:30+01:00;2
{};2018-04-23T12:37:45+01:00;2
{};2018-04-23T12:38:00+01:00;2
{};2018-04-23T12:38:15+01:00;2
{};2018-04-23T12:38:30+01:00;2
{};2018-04-23T12:38:45+01:00;2
{};2018-04-23T12:39:00+01:00;2
{};2018-04-23T12:39:15+01:00;2
{};2018-04-23T12:39:30+01:00;2
{};2018-04-23T12:39:45+01:00;2
{};2018-04-23T12:40:00+01:00;2
{};2018-04-23T12:40:15+01:00;2
{};2018-04-23T12:40:30+01:00;2
{};2018-04-23T12:40:45+01:00;2
{};2018-04-23T12:41:00+01:00;2
{};2018-04-23T12:41:15+01:00;2
{};2018-04-23T12:41:30+01:00;2
{};2018-04-23T12:41:45+01:00;2
{};2018-04-23T12:42:00+01:00;2
{};2018-04-23T12:42:15+01:00;2
{};2018-04-23T12:42:30+01:00;2
{};2018-04-23T12:42:45+01:00;2
{};2018-04-23T12:43:00+01:00;2
{};2018-04-23T12:43:15+01:00;2
{};2018-04-23T12:43:30+01:00;3
{};2018-04-23T12:43:45+01:00;3
{};2018-04-23T12:44:00+01:00;3
{};2018-04-23T12:44:15+01:00;3
{};2018-04-23T12:44:30+01:00;3
{};2018-04-23T12:44:45+01:00;3
{};2018-04-23T12:45:00+01:00;3
{};2018-04-23T12:45:15+01:00;3
{};2018-04-23T12:45:30+01:00;3
{};2018-04-23T12:45:45+01:00;3
{};2018-04-23T12:46:00+01:00;3
