Series;Time;Value
{};2018-04-20T11:28:00+01:00;null
{};2018-04-20T11:28:15+01:00;null
{};2018-04-20T11:28:30+01:00;1
{};2018-04-20T11:28:45+01:00;1
{};2018-04-20T11:29:00+01:00;1
{};2018-04-20T11:29:15+01:00;1
{};2018-04-20T11:29:30+01:00;1
{};2018-04-20T11:29:45+01:00;1
{};2018-04-20T11:30:00+01:00;1
{};2018-04-20T11:30:15+01:00;1
{};2018-04-20T11:30:30+01:00;1
{};2018-04-20T11:30:45+01:00;1
{};2018-04-20T11:31:00+01:00;1
{};2018-04-20T11:31:15+01:00;1
{};2018-04-20T11:31:30+01:00;1
{};2018-04-20T11:31:45+01:00;1
{};2018-04-20T11:32:00+01:00;1
{};2018-04-20T11:32:15+01:00;1
{};2018-04-20T11:32:30+01:00;1
{};2018-04-20T11:32:45+01:00;3
{};2018-04-20T11:33:00+01:00;3
{};2018-04-20T11:33:15+01:00;3
{};2018-04-20T11:33:30+01:00;3
{};2018-04-20T11:33:45+01:00;2
{};2018-04-20T11:34:00+01:00;1
{};2018-04-20T11:34:15+01:00;1
{};2018-04-20T11:34:30+01:00;1
{};2018-04-20T11:34:45+01:00;1
{};2018-04-20T11:35:00+01:00;1
{};2018-04-20T11:35:15+01:00;4
{};2018-04-20T11:35:30+01:00;4
{};2018-04-20T11:35:45+01:00;4
{};2018-04-20T11:36:00+01:00;4
{};2018-04-20T11:36:15+01:00;2
{};2018-04-20T11:36:30+01:00;1
{};2018-04-20T11:36:45+01:00;1
{};2018-04-20T11:37:00+01:00;1
{};2018-04-20T11:37:15+01:00;2
{};2018-04-20T11:37:30+01:00;3
{};2018-04-20T11:37:45+01:00;3
{};2018-04-20T11:38:00+01:00;3
{};2018-04-20T11:38:15+01:00;3
{};2018-04-20T11:38:30+01:00;1
{};2018-04-20T11:38:45+01:00;1
{};2018-04-20T11:39:00+01:00;1
{};2018-04-20T11:39:15+01:00;1
{};2018-04-20T11:39:30+01:00;4
{};2018-04-20T11:39:45+01:00;4
{};2018-04-20T11:40:00+01:00;4
{};2018-04-20T11:40:15+01:00;4
{};2018-04-20T11:40:30+01:00;2
{};2018-04-20T11:40:45+01:00;1
{};2018-04-20T11:41:00+01:00;1
