Series;Time;Value
Sum;2018-04-23T15:22:00+01:00;null
Sum;2018-04-23T15:23:00+01:00;415
Sum;2018-04-23T15:24:00+01:00;527
Sum;2018-04-23T15:25:00+01:00;544
Sum;2018-04-23T15:26:00+01:00;852
Sum;2018-04-23T15:27:00+01:00;1079
Sum;2018-04-23T15:28:00+01:00;1073
Sum;2018-04-23T15:29:00+01:00;1083
Sum;2018-04-23T15:30:00+01:00;1548
Sum;2018-04-23T15:31:00+01:00;1613
Sum;2018-04-23T15:32:00+01:00;1622
Sum;2018-04-23T15:33:00+01:00;1637
Sum;2018-04-23T15:34:00+01:00;2134
Sum;2018-04-23T15:35:00+01:00;2146
Sum;2018-04-23T15:36:00+01:00;2138
Mean;2018-04-23T15:22:00+01:00;null
Mean;2018-04-23T15:23:00+01:00;415
Mean;2018-04-23T15:24:00+01:00;527
Mean;2018-04-23T15:25:00+01:00;544
Mean;2018-04-23T15:26:00+01:00;852
Mean;2018-04-23T15:27:00+01:00;539.5
Mean;2018-04-23T15:28:00+01:00;536.5
Mean;2018-04-23T15:29:00+01:00;541.5
Mean;2018-04-23T15:30:00+01:00;774
Mean;2018-04-23T15:31:00+01:00;537.6666666666666
Mean;2018-04-23T15:32:00+01:00;540.6666666666666
Mean;2018-04-23T15:33:00+01:00;545.6666666666666
Mean;2018-04-23T15:34:00+01:00;711.3333333333334
Mean;2018-04-23T15:35:00+01:00;715.3333333333334
Mean;2018-04-23T15:36:00+01:00;712.6666666666666
