Series;Time;Value
{};2018-04-23T15:22:50+01:00;1
{};2018-04-23T15:23:05+01:00;1
{};2018-04-23T15:23:20+01:00;1
{};2018-04-23T15:23:35+01:00;1
{};2018-04-23T15:23:50+01:00;1
{};2018-04-23T15:24:05+01:00;1
{};2018-04-23T15:24:20+01:00;1
{};2018-04-23T15:24:35+01:00;1
{};2018-04-23T15:24:50+01:00;1
{};2018-04-23T15:25:05+01:00;1
{};2018-04-23T15:25:20+01:00;1
{};2018-04-23T15:25:35+01:00;1
{};2018-04-23T15:25:50+01:00;1
{};2018-04-23T15:26:05+01:00;2
{};2018-04-23T15:26:20+01:00;2
{};2018-04-23T15:26:35+01:00;2
{};2018-04-23T15:26:50+01:00;2
{};2018-04-23T15:27:05+01:00;2
{};2018-04-23T15:27:20+01:00;2
{};2018-04-23T15:27:35+01:00;2
{};2018-04-23T15:27:50+01:00;2
{};2018-04-23T15:28:05+01:00;2
{};2018-04-23T15:28:20+01:00;2
{};2018-04-23T15:28:35+01:00;2
{};2018-04-23T15:28:50+01:00;2
{};2018-04-23T15:29:05+01:00;2
{};2018-04-23T15:29:20+01:00;2
{};2018-04-23T15:29:35+01:00;2
{};2018-04-23T15:29:50+01:00;2
{};2018-04-23T15:30:05+01:00;3
{};2018-04-23T15:30:20+01:00;3
{};2018-04-23T15:30:35+01:00;3
{};2018-04-23T15:30:50+01:00;3
{};2018-04-23T15:31:05+01:00;3
{};2018-04-23T15:31:20+01:00;3
{};2018-04-23T15:31:35+01:00;3
{};2018-04-23T15:31:50+01:00;3
{};2018-04-23T15:32:05+01:00;3
{};2018-04-23T15:32:20+01:00;3
{};2018-04-23T15:32:35+01:00;3
{};2018-04-23T15:32:50+01:00;3
{};2018-04-23T15:33:05+01:00;3
{};2018-04-23T15:33:20+01:00;3
{};2018-04-23T15:33:35+01:00;3
{};2018-04-23T15:33:50+01:00;3
{};2018-04-23T15:34:05+01:00;3
{};2018-04-23T15:34:20+01:00;3
{};2018-04-23T15:34:35+01:00;3
{};2018-04-23T15:34:50+01:00;3
{};2018-04-23T15:35:05+01:00;3
{};2018-04-23T15:35:20+01:00;3
{};2018-04-23T15:35:35+01:00;3
{};2018-04-23T15:35:50+01:00;3
{};2018-04-23T15:36:05+01:00;3
{};2018-04-23T15:36:20+01:00;3
{};2018-04-23T15:36:35+01:00;3
